tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
0,10394.838235,0.1127,2.0,10394.838235,0.1075,2.0,10394.838235,0.1138,2.0,10394.838235,0.1126,2.0,4.66,-0.96,0.06
1,10961.125000,0.1206,2.0,10961.125000,0.1043,2.0,10961.125000,0.1189,2.0,10961.125000,0.1192,2.0,13.48,1.34,1.13
2,3637.851103,0.1182,3.0,3637.851103,0.1078,3.0,3637.851103,0.1045,3.0,3637.851103,0.1437,3.0,8.82,11.62,-21.52
3,4906.672794,0.1173,2.0,4906.672794,0.1074,2.0,4906.672794,0.1023,2.0,4906.672794,0.1154,2.0,8.38,12.78,1.58
4,9709.764706,0.1361,4.0,9709.764706,0.1100,4.0,9709.764706,0.1059,4.0,9709.764706,0.1231,4.0,19.19,22.19,9.54
5,9517.834559,0.1449,2.0,9517.834559,0.1134,2.0,9517.834559,0.1126,2.0,9517.834559,0.1254,2.0,21.73,22.31,13.44
6,23372.713235,0.1376,3.0,23372.713235,0.1096,3.0,23372.713235,0.1146,3.0,23372.713235,0.1286,3.0,20.32,16.73,6.53
7,11677.737132,0.1258,6.0,11677.737132,0.1168,6.0,11677.737132,0.1057,6.0,11677.737132,0.1200,6.0,7.15,15.94,4.60
8,12168.830882,0.1210,1.0,12168.830882,0.1089,1.0,12168.830882,0.1076,1.0,12168.830882,0.1266,1.0,10.02,11.11,-4.59
9,9338.981618,0.1411,3.0,9338.981618,0.1129,3.0,9338.981618,0.1072,3.0,9338.981618,0.1186,3.0,20.00,24.03,15.95
10,16500.893382,0.1414,4.0,16500.893382,0.1269,4.0,16500.893382,0.1101,4.0,16500.893382,0.1149,4.0,10.26,22.18,18.74
11,12916.742647,0.1231,2.0,12916.742647,0.1172,2.0,12916.742647,0.1150,2.0,12916.742647,0.1104,2.0,4.84,6.59,10.30
12,1647.676471,0.1340,13.0,1647.676471,0.1095,13.0,1647.676471,0.1186,13.0,1647.676471,0.1163,13.0,18.28,11.50,13.27
13,146220.613971,0.1144,3.0,146220.613971,0.1003,3.0,146220.613971,0.1087,3.0,146220.613971,0.1224,3.0,12.29,4.96,-7.03
14,10883.996324,0.1201,4.0,10883.996324,0.1087,4.0,10883.996324,0.1211,4.0,10883.996324,0.1217,4.0,9.51,-0.80,-1.29
15,8418.279412,0.1181,2.0,8418.279412,0.1320,2.0,8418.279412,0.1199,2.0,8418.279412,0.1203,2.0,-11.83,-1.57,-1.86
16,28086.591912,0.1108,2.0,28086.591912,0.1033,2.0,28086.591912,0.1191,2.0,28086.591912,0.1163,2.0,6.80,-7.49,-5.02
17,17583.422794,0.1162,2.0,17583.422794,0.1025,2.0,17583.422794,0.1109,2.0,17583.422794,0.1089,2.0,11.78,4.52,6.31
18,10543.055147,0.1146,3.0,10543.055147,0.1130,3.0,10543.055147,0.1186,3.0,10543.055147,0.1189,3.0,1.39,-3.44,-3.68
19,2077.613971,0.1138,2.0,2077.613971,0.1147,2.0,2077.613971,0.1106,2.0,2077.613971,0.1144,2.0,-0.77,2.86,-0.53
20,23419.253676,0.1446,3.0,23419.253676,0.1078,3.0,23419.253676,0.1137,3.0,23419.253676,0.1144,3.0,25.47,21.38,20.91
21,14548.283088,0.1047,2.0,14548.283088,0.1029,2.0,14548.283088,0.1151,2.0,14548.283088,0.1262,2.0,1.65,-10.00,-20.59
22,2111.875000,0.1089,4.0,2111.875000,0.1106,4.0,2111.875000,0.1156,4.0,2111.875000,0.1153,4.0,-1.59,-6.18,-5.91
23,18267.602941,0.1082,3.0,18267.602941,0.1082,3.0,18267.602941,0.1186,3.0,18267.602941,0.1202,3.0,0.04,-9.56,-11.00
24,2271.680147,0.1067,5.0,2271.680147,0.1111,5.0,2271.680147,0.1159,5.0,2271.680147,0.1247,5.0,-4.14,-8.60,-16.87
25,37594.577206,0.1087,6.0,37594.577206,0.1028,6.0,37594.577206,0.1066,6.0,37594.577206,0.1183,6.0,5.48,1.96,-8.77
26,9461.297794,0.1063,3.0,9461.297794,0.1112,3.0,9461.297794,0.1014,3.0,9461.297794,0.1107,3.0,-4.61,4.58,-4.20
27,15015.540441,0.1076,2.0,15015.540441,0.1161,2.0,15015.540441,0.1115,2.0,15015.540441,0.1247,2.0,-7.86,-3.60,-15.83
28,3817.323529,0.1011,2.0,3817.323529,0.1064,1.0,3817.323529,0.1067,2.0,3817.323529,0.1154,2.0,-5.20,-5.49,-14.07
29,1393.358456,0.1026,31.0,1393.358456,0.1003,31.0,1393.358456,0.1060,31.0,1393.358456,0.1147,31.0,2.26,-3.36,-11.81
30,12993.625000,0.1064,3.0,12993.625000,0.1109,3.0,12993.625000,0.1090,3.0,12993.625000,0.1163,3.0,-4.30,-2.51,-9.29
31,22865.790441,0.1007,3.0,22865.790441,0.1035,3.0,22865.790441,0.1013,3.0,22865.790441,0.1098,3.0,-2.72,-0.61,-9.00
32,1345.959559,0.1060,6.0,1345.959559,0.1123,6.0,1345.959559,0.1098,6.0,1345.959559,0.1234,81.0,-5.93,-3.55,-16.34
33,13290.797794,0.0992,1.0,13290.797794,0.1171,1.0,13290.797794,0.1025,1.0,13290.797794,0.1115,1.0,-18.03,-3.35,-12.45
34,4410.551471,0.1068,4.0,4410.551471,0.1136,4.0,4410.551471,0.1111,4.0,4410.551471,0.1177,4.0,-6.39,-4.04,-10.23
35,14319.676471,0.1239,4.0,14319.676471,0.1142,4.0,14319.676471,0.1167,4.0,14319.676471,0.1186,4.0,7.81,5.82,4.25
36,20307.625000,0.1035,3.0,20307.625000,0.1101,3.0,20307.625000,0.1152,3.0,20307.625000,0.1180,3.0,-6.32,-11.21,-14.00
37,17159.941176,0.1124,2.0,17159.941176,0.1184,2.0,17159.941176,0.1163,2.0,17159.941176,0.1303,2.0,-5.34,-3.53,-15.93
38,10530.908088,0.1084,4.0,10530.908088,0.1114,4.0,10530.908088,0.1153,4.0,10530.908088,0.1179,4.0,-2.73,-6.41,-8.74
39,14284.658088,0.1044,2.0,14284.658088,0.1089,2.0,14284.658088,0.1152,2.0,14284.658088,0.1155,2.0,-4.28,-10.36,-10.67
40,2260.323529,0.1110,3.0,2260.323529,0.1207,3.0,2260.323529,0.1154,3.0,2260.323529,0.1162,3.0,-8.74,-3.92,-4.66
41,37350.625000,0.1042,3.0,37350.625000,0.1055,3.0,37350.625000,0.1058,3.0,37350.625000,0.1099,3.0,-1.27,-1.56,-5.44
42,10979.886029,0.1123,3.0,10979.886029,0.1237,3.0,10979.886029,0.1220,3.0,10979.886029,0.1321,3.0,-10.16,-8.59,-17.57
43,16527.426471,0.1089,3.0,16527.426471,0.1064,3.0,16527.426471,0.1109,3.0,16527.426471,0.1174,3.0,2.31,-1.82,-7.86
44,11133.485294,0.1185,1.0,11133.485294,0.1231,1.0,11133.485294,0.1093,1.0,11133.485294,0.1103,1.0,-3.88,7.75,6.95
45,26134.610294,0.1088,3.0,26134.610294,0.1195,3.0,26134.610294,0.1185,3.0,26134.610294,0.1167,3.0,-9.84,-8.87,-7.24
46,2781.264706,0.0986,2.0,2781.264706,0.1099,2.0,2781.264706,0.1110,2.0,2781.264706,0.1104,2.0,-11.38,-12.52,-11.90
47,13743.779412,0.1014,2.0,13743.779412,0.1082,2.0,13743.779412,0.1134,2.0,13743.779412,0.1175,2.0,-6.72,-11.92,-15.94
48,11439.459559,0.0978,2.0,11439.459559,0.1009,2.0,11439.459559,0.1100,2.0,11439.459559,0.1096,2.0,-3.11,-12.49,-12.08
49,10107.022059,0.1027,2.0,10107.022059,0.1118,2.0,10107.022059,0.1108,2.0,10107.022059,0.1133,2.0,-8.91,-7.93,-10.39
50,12348.639706,0.1212,3.0,12348.639706,0.1098,3.0,12348.639706,0.1181,3.0,12348.639706,0.1154,3.0,9.40,2.56,4.83
51,18981.544118,0.1034,2.0,18981.544118,0.1089,2.0,18981.544118,0.1171,2.0,18981.544118,0.1118,2.0,-5.36,-13.24,-8.13
52,3710.863971,0.1017,1.0,3710.863971,0.1068,1.0,3710.863971,0.1062,1.0,3710.863971,0.1106,1.0,-5.00,-4.36,-8.74
53,26326.227941,0.1072,3.0,26326.227941,0.1309,3.0,26326.227941,0.1174,3.0,26326.227941,0.1149,3.0,-22.17,-9.52,-7.25
54,5933.566176,0.1034,1.0,5933.566176,0.1069,1.0,5933.566176,0.1173,1.0,5933.566176,0.1217,1.0,-3.43,-13.53,-17.75
55,39537.312500,0.1052,2.0,39537.312500,0.1072,2.0,39537.312500,0.1106,2.0,39537.312500,0.1091,2.0,-1.92,-5.16,-3.69
56,15540.316176,0.1059,2.0,15540.316176,0.1142,2.0,15540.316176,0.1154,2.0,15540.316176,0.1053,2.0,-7.89,-9.05,0.53
57,32192.220588,0.0980,2.0,32192.220588,0.1075,2.0,32192.220588,0.1155,2.0,32192.220588,0.1048,2.0,-9.74,-17.92,-6.97
58,12157.397059,0.1088,1.0,12157.397059,0.1081,1.0,12157.397059,0.1097,1.0,12157.397059,0.1033,1.0,0.63,-0.89,5.07
59,14594.437500,0.1095,3.0,14594.437500,0.1205,3.0,14594.437500,0.1184,3.0,14594.437500,0.1073,3.0,-10.00,-8.08,1.97
60,11915.198529,0.1009,2.0,11915.198529,0.1066,2.0,11915.198529,0.1088,2.0,11915.198529,0.1030,2.0,-5.66,-7.82,-2.06
61,12601.705882,0.0978,4.0,12601.705882,0.1117,4.0,12601.705882,0.1112,4.0,12601.705882,0.1179,4.0,-14.22,-13.78,-20.55
62,37375.099265,0.0958,6.0,37375.099265,0.1208,6.0,37375.099265,0.1022,6.0,37375.099265,0.1045,6.0,-26.11,-6.68,-9.04
63,11915.025735,0.0990,3.0,11915.025735,0.1095,3.0,11915.025735,0.1062,3.0,11915.025735,0.1120,3.0,-10.61,-7.33,-13.19
64,13335.496324,0.0967,2.0,13335.496324,0.1165,2.0,13335.496324,0.1097,2.0,13335.496324,0.1113,2.0,-20.43,-13.43,-15.05
65,12613.716912,0.1126,4.0,12613.716912,0.1121,4.0,12613.716912,0.1122,4.0,12613.716912,0.1136,4.0,0.50,0.41,-0.87
66,16894.889706,0.1097,4.0,16894.889706,0.1162,4.0,16894.889706,0.1198,4.0,16894.889706,0.1249,4.0,-5.97,-9.22,-13.87
67,25794.875000,0.1078,3.0,25794.875000,0.1071,3.0,25794.875000,0.1314,3.0,25794.875000,0.1149,3.0,0.66,-21.83,-6.57
68,28117.886029,0.1051,3.0,28117.886029,0.1170,3.0,28117.886029,0.1358,3.0,28117.886029,0.1214,3.0,-11.23,-29.19,-15.49
69,10757.459559,0.1027,3.0,10757.459559,0.1025,3.0,10757.459559,0.1148,3.0,10757.459559,0.1110,3.0,0.23,-11.77,-8.02
70,15876.801471,0.1061,4.0,15876.801471,0.1008,4.0,15876.801471,0.1116,4.0,15876.801471,0.1161,4.0,5.05,-5.16,-9.37
71,17697.680147,0.1040,1.0,17697.680147,0.1059,1.0,17697.680147,0.1199,1.0,17697.680147,0.1151,1.0,-1.82,-15.24,-10.68
72,27050.636029,0.1015,6.0,27050.636029,0.1061,6.0,27050.636029,0.1199,6.0,27050.636029,0.1122,6.0,-4.51,-18.13,-10.48
73,21004.779412,0.1605,3.0,21004.779412,0.1128,3.0,21004.779412,0.1169,3.0,21004.779412,0.1197,3.0,29.72,27.14,25.41
74,34774.062500,0.1005,3.0,34774.062500,0.1032,3.0,34774.062500,0.1078,3.0,34774.062500,0.1137,3.0,-2.65,-7.24,-13.10
75,19785.661765,0.1060,3.0,19785.661765,0.1116,3.0,19785.661765,0.1139,3.0,19785.661765,0.1137,3.0,-5.25,-7.44,-7.29
76,16612.213235,0.0948,3.0,16612.213235,0.0993,3.0,16612.213235,0.1066,3.0,16612.213235,0.1070,3.0,-4.81,-12.52,-12.93
77,14685.764706,0.1015,3.0,14685.764706,0.1048,3.0,14685.764706,0.1107,3.0,14685.764706,0.1055,3.0,-3.24,-9.05,-3.88
78,12022.231618,0.1032,3.0,12022.231618,0.1030,3.0,12022.231618,0.1093,3.0,12022.231618,0.1124,3.0,0.22,-5.90,-8.90
79,13449.533088,0.1124,4.0,13449.533088,0.1082,4.0,13449.533088,0.1181,4.0,13449.533088,0.1219,4.0,3.66,-5.12,-8.52
80,12896.382353,0.0972,2.0,12896.382353,0.1048,2.0,12896.382353,0.1090,2.0,12896.382353,0.1084,2.0,-7.76,-12.10,-11.51
81,14057.279412,0.0985,2.0,14057.279412,0.1056,2.0,14057.279412,0.1136,2.0,14057.279412,0.1098,2.0,-7.23,-15.35,-11.52
82,31212.518382,0.1121,2.0,31212.518382,0.1119,2.0,31212.518382,0.1156,2.0,31212.518382,0.1182,1.0,0.24,-3.07,-5.37
83,18758.433824,0.1114,6.0,18758.433824,0.1068,6.0,18758.433824,0.1077,6.0,18758.433824,0.1094,6.0,4.09,3.25,1.76
84,17144.371324,0.0997,3.0,17144.371324,0.1111,3.0,17144.371324,0.1126,3.0,17144.371324,0.1113,3.0,-11.47,-12.98,-11.69
85,13444.073529,0.0993,2.0,13444.073529,0.1068,2.0,13444.073529,0.1099,2.0,13444.073529,0.1139,2.0,-7.60,-10.67,-14.73
86,11813.694853,0.0979,3.0,11813.694853,0.1029,3.0,11813.694853,0.1072,3.0,11813.694853,0.1058,3.0,-5.05,-9.42,-8.00
87,9675.919118,0.1256,3.0,9675.919118,0.1140,3.0,9675.919118,0.1117,3.0,9675.919118,0.1135,3.0,9.28,11.12,9.65
88,10899.540441,0.1030,2.0,10899.540441,0.1046,2.0,10899.540441,0.1149,2.0,10899.540441,0.1263,2.0,-1.58,-11.54,-22.63
89,18643.735294,0.1032,3.0,18643.735294,0.1078,3.0,18643.735294,0.1140,3.0,18643.735294,0.1151,3.0,-4.47,-10.45,-11.50
90,3862.397059,0.0990,4.0,3862.397059,0.1009,4.0,3862.397059,0.1196,4.0,3862.397059,0.1117,4.0,-1.92,-20.71,-12.77
91,2137.555147,0.1055,2.0,2137.555147,0.1139,2.0,2137.555147,0.1154,2.0,2137.555147,0.1141,2.0,-7.98,-9.35,-8.19
92,4459.110294,0.1044,4.0,4459.110294,0.1063,4.0,4459.110294,0.1125,4.0,4459.110294,0.1126,4.0,-1.79,-7.81,-7.83
93,9193.628676,0.1068,2.0,9193.628676,0.1120,2.0,9193.628676,0.1189,2.0,9193.628676,0.1176,2.0,-4.84,-11.27,-10.13
94,20015.290441,0.1107,2.0,20015.290441,0.1113,2.0,20015.290441,0.1173,2.0,20015.290441,0.1133,2.0,-0.58,-6.00,-2.33
95,4509.772059,0.1088,5.0,4509.772059,0.1137,5.0,4509.772059,0.1164,5.0,4509.772059,0.1213,5.0,-4.45,-6.90,-11.41
96,3265.084559,0.1106,3.0,3265.084559,0.1087,3.0,3265.084559,0.1179,3.0,3265.084559,0.1106,3.0,1.69,-6.62,-0.03
97,5962.169118,0.1250,3.0,5962.169118,0.1061,3.0,5962.169118,0.1262,3.0,5962.169118,0.1205,3.0,15.13,-0.97,3.62
98,15250.430147,0.1064,3.0,15250.430147,0.1206,3.0,15250.430147,0.1088,3.0,15250.430147,0.1128,3.0,-13.36,-2.23,-6.08
99,27924.591912,0.1051,6.0,27924.591912,0.1105,6.0,27924.591912,0.1180,6.0,27924.591912,0.1085,6.0,-5.15,-12.33,-3.30
100,2850.044118,0.1052,2.0,2850.044118,0.1376,2.0,2850.044118,0.1172,2.0,2850.044118,0.1128,2.0,-30.84,-11.40,-7.24
101,3049.632353,0.1263,3.0,3049.632353,0.1293,3.0,3049.632353,0.1139,3.0,3049.632353,0.1160,3.0,-2.36,9.82,8.19
102,5726.312500,0.1135,3.0,5726.312500,0.1147,3.0,5726.312500,0.1195,3.0,5726.312500,0.1195,3.0,-1.02,-5.30,-5.31
103,16470.724265,0.1104,2.0,16470.724265,0.1075,2.0,16470.724265,0.1196,2.0,16470.724265,0.1198,2.0,2.59,-8.33,-8.51
104,5239.647059,0.1079,3.0,5239.647059,0.1077,3.0,5239.647059,0.1074,3.0,5239.647059,0.1057,3.0,0.20,0.49,2.05
105,15971.713235,0.1052,2.0,15971.713235,0.1050,2.0,15971.713235,0.1107,2.0,15971.713235,0.1111,2.0,0.14,-5.29,-5.62
106,3166.136029,0.1054,24.0,3166.136029,0.1084,24.0,3166.136029,0.1129,24.0,3166.136029,0.1141,24.0,-2.88,-7.09,-8.23
107,14560.213235,0.1100,4.0,14560.213235,0.1038,4.0,14560.213235,0.1058,4.0,14560.213235,0.1143,4.0,5.60,3.81,-3.94
108,26548.860294,0.1026,6.0,26548.860294,0.1071,6.0,26548.860294,0.0992,6.0,26548.860294,0.1091,6.0,-4.43,3.26,-6.34
109,12550.724265,0.1092,3.0,12550.724265,0.1066,3.0,12550.724265,0.1061,3.0,12550.724265,0.1136,3.0,2.43,2.84,-4.02
110,3085.363971,0.1020,2.0,3085.363971,0.1060,5.0,3085.363971,0.1135,2.0,3085.363971,0.1097,2.0,-3.92,-11.33,-7.58
111,9254.672794,0.1024,3.0,9254.672794,0.1119,3.0,9254.672794,0.1035,3.0,9254.672794,0.1144,3.0,-9.22,-0.99,-11.68
112,7578.264706,0.1068,3.0,7578.264706,0.1032,3.0,7578.264706,0.1072,3.0,7578.264706,0.1084,3.0,3.37,-0.45,-1.52
113,24179.286765,0.0967,2.0,24179.286765,0.0987,2.0,24179.286765,0.1129,2.0,24179.286765,0.1150,2.0,-2.06,-16.72,-18.96
114,10719.165441,0.1074,5.0,10719.165441,0.1095,5.0,10719.165441,0.1144,5.0,10719.165441,0.1163,5.0,-2.01,-6.55,-8.33
115,9511.452206,0.1040,3.0,9511.452206,0.1596,3.0,9511.452206,0.1108,3.0,9511.452206,0.1186,3.0,-53.47,-6.49,-14.02
116,4912.511029,0.1036,3.0,4912.511029,0.1097,3.0,4912.511029,0.1084,3.0,4912.511029,0.1164,3.0,-5.83,-4.63,-12.34
117,1634.577206,0.0972,5.0,1634.577206,0.1080,5.0,1634.577206,0.1095,5.0,1634.577206,0.1144,5.0,-11.05,-12.60,-17.72
118,16022.761029,0.1035,2.0,16022.761029,0.1157,2.0,16022.761029,0.1151,2.0,16022.761029,0.1104,2.0,-11.79,-11.27,-6.71
119,1754.426471,0.1047,12.0,1754.426471,0.1105,12.0,1754.426471,0.1087,12.0,1754.426471,0.1114,12.0,-5.48,-3.77,-6.35
120,1647.694853,0.1049,4.0,1647.694853,0.1087,4.0,1647.694853,0.1144,4.0,1647.694853,0.1591,4.0,-3.63,-9.12,-51.67
121,18915.202206,0.1084,2.0,18915.202206,0.1116,2.0,18915.202206,0.1137,2.0,18915.202206,0.1124,2.0,-2.97,-4.89,-3.67
122,11197.205882,0.1152,1.0,11197.205882,0.1093,1.0,11197.205882,0.1091,1.0,11197.205882,0.1107,1.0,5.06,5.25,3.87
123,19271.573529,0.1165,3.0,19271.573529,0.1143,3.0,19271.573529,0.1192,3.0,19271.573529,0.1158,3.0,1.84,-2.37,0.61
124,16663.691176,0.1068,2.0,16663.691176,0.1115,2.0,16663.691176,0.1190,2.0,16663.691176,0.1124,2.0,-4.41,-11.39,-5.25
125,27547.007353,0.1046,6.0,27547.007353,0.1059,6.0,27547.007353,0.1066,6.0,27547.007353,0.1157,6.0,-1.24,-1.87,-10.57
126,6363.830882,0.1040,2.0,6363.830882,0.1129,2.0,6363.830882,0.1114,2.0,6363.830882,0.1126,2.0,-8.54,-7.06,-8.29
127,1279.628676,0.1084,4.0,1279.628676,0.1155,4.0,1279.628676,0.1119,4.0,1279.628676,0.1983,5.0,-6.58,-3.30,-83.01
128,10421.492647,0.1083,4.0,10421.492647,0.1095,4.0,10421.492647,0.1106,4.0,10421.492647,0.1533,2.0,-1.04,-2.06,-41.47
129,8490.599265,0.1069,6.0,8490.599265,0.1168,6.0,8490.599265,0.1176,6.0,8490.599265,0.1256,6.0,-9.30,-9.99,-17.51
130,28756.356618,0.0976,3.0,28756.356618,0.1128,3.0,28756.356618,0.1108,3.0,28756.356618,0.1115,3.0,-15.53,-13.53,-14.24
131,10011.625000,0.1023,4.0,10011.625000,0.1135,4.0,10011.625000,0.1230,4.0,10011.625000,0.1216,4.0,-10.99,-20.31,-18.94
132,26790.698529,0.1037,4.0,26790.698529,0.1211,4.0,26790.698529,0.1206,4.0,26790.698529,0.1269,4.0,-16.78,-16.34,-22.41
133,4051.599265,0.1004,5.0,4051.599265,0.1035,5.0,4051.599265,0.1078,5.0,4051.599265,0.1115,5.0,-3.06,-7.33,-11.01
134,24339.577206,0.1124,2.0,24339.577206,0.1073,2.0,24339.577206,0.1074,2.0,24339.577206,0.1317,2.0,4.47,4.38,-17.25
135,16479.823529,0.1005,3.0,16479.823529,0.1094,3.0,16479.823529,0.1160,3.0,16479.823529,0.1194,3.0,-8.86,-15.38,-18.81
136,24498.183824,0.0973,1.0,24498.183824,0.1087,1.0,24498.183824,0.1142,1.0,24498.183824,0.1141,1.0,-11.65,-17.31,-17.28
137,22217.066176,0.1028,3.0,22217.066176,0.1182,3.0,22217.066176,0.1106,3.0,22217.066176,0.1236,3.0,-15.07,-7.59,-20.27
138,23517.797794,0.0990,3.0,23517.797794,0.1063,3.0,23517.797794,0.1057,3.0,23517.797794,0.1113,3.0,-7.39,-6.75,-12.45
139,26082.599265,0.1311,4.0,26082.599265,0.1422,4.0,26082.599265,0.1158,4.0,26082.599265,0.1274,4.0,-8.52,11.66,2.81
140,37684.639706,0.1133,3.0,37684.639706,0.1138,3.0,37684.639706,0.1111,3.0,37684.639706,0.1214,1.0,-0.42,1.96,-7.13
141,31060.904412,0.1055,3.0,31060.904412,0.1173,3.0,31060.904412,0.1204,2.0,31060.904412,0.1209,2.0,-11.20,-14.12,-14.65
142,14604.507353,0.1411,2.0,14604.507353,0.1183,2.0,14604.507353,0.1166,2.0,14604.507353,0.1090,2.0,16.18,17.39,22.78
143,10922.466912,0.1404,4.0,10922.466912,0.1100,4.0,10922.466912,0.1199,2.0,10922.466912,0.1164,4.0,21.63,14.59,17.10
144,20637.772059,0.0999,3.0,20637.772059,0.1220,3.0,20637.772059,0.1168,3.0,20637.772059,0.1185,3.0,-22.17,-16.94,-18.64
145,33057.062500,0.1032,6.0,33057.062500,0.1116,6.0,33057.062500,0.1060,6.0,33057.062500,0.1102,6.0,-8.11,-2.64,-6.74
146,15281.985294,0.1069,2.0,15281.985294,0.1172,2.0,15281.985294,0.1160,2.0,15281.985294,0.1172,2.0,-9.63,-8.51,-9.65
147,6839.279412,0.1065,3.0,6839.279412,0.1174,3.0,6839.279412,0.1188,3.0,6839.279412,0.1289,3.0,-10.27,-11.57,-21.13
148,8746.588235,0.1031,4.0,8746.588235,0.1272,4.0,8746.588235,0.1126,4.0,8746.588235,0.1149,4.0,-23.36,-9.21,-11.48
149,4264.665441,0.1278,3.0,4264.665441,0.1193,3.0,4264.665441,0.1133,3.0,4264.665441,0.1170,3.0,6.63,11.35,8.45
150,19881.301471,0.1068,2.0,19881.301471,0.1248,2.0,19881.301471,0.1062,2.0,19881.301471,0.1087,2.0,-16.93,0.57,-1.80
151,4603.889706,0.0990,3.0,4603.889706,0.1197,3.0,4603.889706,0.1084,3.0,4603.889706,0.1179,3.0,-20.94,-9.47,-19.05
152,31864.290441,0.1077,6.0,31864.290441,0.1177,6.0,31864.290441,0.1047,6.0,31864.290441,0.1129,6.0,-9.33,2.77,-4.85
153,20209.382353,0.0970,4.0,20209.382353,0.1125,4.0,20209.382353,0.1049,4.0,20209.382353,0.1064,4.0,-15.94,-8.06,-9.68
154,36430.746324,0.0991,6.0,36430.746324,0.1159,6.0,36430.746324,0.1149,6.0,36430.746324,0.1053,6.0,-17.01,-16.00,-6.32
155,1346.283088,0.1047,5.0,1346.283088,0.1168,5.0,1346.283088,0.1126,5.0,1346.283088,0.1298,5.0,-11.56,-7.57,-23.96
156,26390.378676,0.1047,2.0,26390.378676,0.1141,2.0,26390.378676,0.1077,2.0,26390.378676,0.1064,2.0,-8.96,-2.89,-1.60
157,2397.047794,0.1063,3.0,2397.047794,0.1162,3.0,2397.047794,0.1168,3.0,2397.047794,0.1145,3.0,-9.37,-9.92,-7.70
158,35849.301471,0.1043,6.0,35849.301471,0.1107,6.0,35849.301471,0.1056,6.0,35849.301471,0.1031,6.0,-6.06,-1.21,1.18
159,72704.540441,0.1078,2.0,72704.540441,0.1432,2.0,72704.540441,0.1151,2.0,72704.540441,0.1214,2.0,-32.87,-6.86,-12.62
160,2620.069853,0.1012,4.0,2620.069853,0.1077,4.0,2620.069853,0.1076,4.0,2620.069853,0.1261,1.0,-6.47,-6.32,-24.62
161,8027.205882,0.1056,2.0,8027.205882,0.1143,2.0,8027.205882,0.1160,2.0,8027.205882,0.1172,2.0,-8.21,-9.86,-11.03
162,23018.073529,0.1033,2.0,23018.073529,0.1097,2.0,23018.073529,0.1055,2.0,23018.073529,0.1068,2.0,-6.18,-2.10,-3.40
163,5547.033088,0.0990,4.0,5547.033088,0.1038,4.0,5547.033088,0.1040,4.0,5547.033088,0.1361,4.0,-4.88,-5.04,-37.53
164,21751.882353,0.1113,2.0,21751.882353,0.1075,2.0,21751.882353,0.1076,2.0,21751.882353,0.1078,2.0,3.41,3.32,3.08
165,5770.970588,0.1059,3.0,5770.970588,0.1111,3.0,5770.970588,0.1063,3.0,5770.970588,0.1169,3.0,-4.88,-0.32,-10.32
166,14266.113971,0.1054,2.0,14266.113971,0.1132,2.0,14266.113971,0.1057,2.0,14266.113971,0.1142,2.0,-7.43,-0.23,-8.35
167,6270.886029,0.1049,3.0,6270.886029,0.1136,3.0,6270.886029,0.1164,3.0,6270.886029,0.1172,3.0,-8.27,-11.01,-11.71
168,24730.437500,0.1013,2.0,24730.437500,0.1121,2.0,24730.437500,0.1091,2.0,24730.437500,0.1119,2.0,-10.76,-7.80,-10.56
169,10476.272059,0.1005,2.0,10476.272059,0.1111,2.0,10476.272059,0.1236,2.0,10476.272059,0.1580,3.0,-10.53,-22.97,-57.21
170,66430.411765,0.1003,5.0,66430.411765,0.1229,5.0,66430.411765,0.1194,5.0,66430.411765,0.1251,10.0,-22.58,-19.06,-24.73
171,4986.080882,0.1064,2.0,4986.080882,0.1098,2.0,4986.080882,0.1107,2.0,4986.080882,0.1189,2.0,-3.12,-4.01,-11.69
172,37378.816176,0.0984,2.0,37378.816176,0.1072,2.0,37378.816176,0.1082,2.0,37378.816176,0.1297,2.0,-9.04,-10.00,-31.91
173,15787.496324,0.0966,3.0,15787.496324,0.1171,3.0,15787.496324,0.1093,3.0,15787.496324,0.1345,1.0,-21.28,-13.13,-39.30
174,50167.621324,0.0988,2.0,50167.621324,0.2690,2.0,50167.621324,0.1092,2.0,50167.621324,0.1109,2.0,-172.31,-10.53,-12.28
175,38740.661765,0.0964,2.0,38740.661765,0.2587,2.0,38740.661765,0.1056,2.0,38740.661765,0.1185,2.0,-168.36,-9.56,-22.94
176,38235.404412,0.1017,4.0,38235.404412,0.1117,4.0,38235.404412,0.1141,4.0,38235.404412,0.1195,4.0,-9.76,-12.14,-17.46
